Assignee,Status,Comment/Remark,Local URL,YYYY,Source ID,Accession Number,Internal ID / Seq ID,Unique Resource ID,Title,Renamed File, Sane file,Creator,Date.Created,Coverage.Temporal,Coverage.Spatial,Publisher,Description,Language,File type,Content Type,Format,Copyright,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject
Tushar Ayyar,Second Review,,http://10.129.50.5/nvli/data/Instrument%20of%20Accession/01.IOA%20Alwar%20R-I-1-47/pdf-a/,1947,IOA,,1,1947-IOA-1,Instrument of Accession Alwar,ioa/1947-ioa-1-instrument of accession alwar.pdf,,,1947,1940-1955,"Alwar, India",,"The Instrument of Accession is an agreement signed by the rulers of the various princely state which acceeded to the Dominion of India after independence. This is an agreement signed by the ruler of Alwar, His Highness Shri Sewai Maharaj Tejsinghji Alwarendra Dev making an acceptance of all the clauses and vesting all the powers of the State in the hands of the Dominion of India according to the the Government of India Act, 1935 . It includes an agreement stating the formation of laws recommended by the Dominion Legislature in the fields of defence, external affairs, communications and ancillary related to the State after its accession. A reference to the Indian Arbitration Act, 1899 has also been included in the agreement if in case of any dispute that arises out of the overall agreement.",English,Document,Official Document,pdf,,Instrument of Accession,Alwar,Shri Sewai Maharaj Tejsinghji Alwarendra Dev,Indian Independence Act 1947,Government of India Act 1935,Governor General,Dominion of India,Mountbatten of Burma,Dominion Legislature,Indian Arbitration Act 1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tushar Ayyar,Second Review,,http://10.129.50.5/nvli/data/Instrument%20of%20Accession/01.IOA%20Anandpur%20Taluka%20W.I.S-82-47/pdf-a/,1947,IOA,,2,1947-IOA-2,Instrument of Accession Anandpur Taluka,ioa/1947-ioa-2-instrument-of-accession-anandpur-taluka.pdf,,,1947,1940-1955,"Anandpur, India",,"The Instrument of Accession is an agreement signed by the rulers of the various princely state which acceeded to the Dominion of India after independence. This is an agreement signed by the four talukdars of the taluka Anandpur which is attached to the state and by signing the Instrument of Accession agreement authorises the Dominion of India, with due effect, to exercise all the powers and jurisdiction of the taluka.  ",English,Document,Official Document,pdf,,Instrument of Accession,Anandpur taluka,Chotila Thana,Western India States Region,Indian Independence Act,Dominion of India,15th August 1947,Talukdar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tushar Ayyar,Second Review,,http://10.129.50.5/nvli/data/Instrument%20of%20Accession/01.IOA%20Jira%20Kamsoli%20G.S.-178-47/pdf-a/,1947,IOA,,3,1947-IOA-3,Instrument of Accession Jira Kamsoli,ioa/1947-ioa-3-instrument-of-accession-jira-kamsoli.pdf,,,1947,1940-1955,"Jira Kamsoli, India",,"The Instrument of Accession is an agreement signed by the rulers of the various princely state which acceeded to the Dominion of India after independence. This is an agreement signed by the nine talukdars of the taluka Jiral Kamsoli under Sankheda-Mewas Thana which is attached to the former Gujarat State Region and by signing the Instrument of Accession agreement authorises the Dominion of India, with due effect, to exercise all the powers and jurisdiction of the taluka.  ",English,Document,Official Document,pdf,,Instrument of Accession,Jiral Kamsoli Taluka,Sankheda-Mewas Thana,Baroda,Indian Independence Act,Dominion of India,3rd April 1947,21st April 1947,10th May 1948,17th May 1948,Gujarat State Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tushar Ayyar,Second Review,,http://10.129.50.5/nvli/data/Instrument%20of%20Accession/02.IOA%20Bamanbore%20Taluka%20W.I.S-83-47/pdf-a/,1947,IOA,,4,1947-IOA-4,Instrument of Accession Bamanbore Taluka,ioa/1947-ioa-4-instrument-of-accession-bamanbore-taluka.pdf,,,1947,1940-1955,"Bamanbore, India",,"The Instrument of Accession is an agreement signed by the rulers of the various princely state which acceeded to the Dominion of India after independence. This is an agreement signed by the talukdar of the Bamanbore taluka under Chotila Thana which is attached to the former Western India State Region and by signing the Instrument of Accession agreement authorises the Dominion of India, with due effect, to exercise all the powers and jurisdiction of the taluka.  ",English,Document,Official Document,pdf,,Instrument of Accession,Bamanbore Taluka,Chotila Thana,Western India States Region,Indian Independence Act,Dominion of India,15th August 1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tushar Ayyar,Second Review,,http://10.129.50.5/nvli/data/Instrument%20of%20Accession/02.IOA%20Dudhpur%20G.S.-177-47/pdf-a/,1947,IOA,,5,1947-IOA-5,Instrument of Accession Dudhpur,ioa/1947-ioa-5-instrument-of-accession-dudhpur.pdf,,,1947,1940-1955,"Dudhpur, India",,"The Instrument of Accession is an agreement signed by the rulers of the various princely state which acceeded to the Dominion of India after independence. This is an agreement signed by the talukdar of the Dudhpur taluka under Sankheda-Mewas Thana which is attached to the former Gujarat State Region and by signing the Instrument of Accession agreement authorises the Dominion of India, with due effect, to exercise all the powers and jurisdiction of the taluka.  ",English,Document,Official Document,pdf,,Instrument of Accession,Dudhpur Taluka,Sankheda-Mewas Thana,Baroda,Gujarat State Region,Dominion of India,15th August 1947,Indian Independence Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Material%20from%20Navjivan%20Trust/SEARCHABLE%20PDF-A/92ACC143_Case%20of%20Dr%20John%20Matthai's%20son.pdf,1948,NJT,90ACC143,5,1948-NJT-90ACC143-5,Case of Dr John Matthai's son,njt/1948-njt-90acc143-5-case-of-dr-john-matthai's-son.pdf,,,1948,1940-1955,India,,The letters discuss about the accident case of Mr Ravi John Matthai and judements given by court. Mr. Ravi Matthai was son of Dr. John Matthai who was Minister of Transport. ,English,Letter,Official Letter,PDF,,Ravi Matthai Accident Case,Dr. John Matthai,Sardar Vallabhbhai Patel,Allahabad Uiniversity,Court Trial,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Material%20from%20Navjivan%20Trust/SEARCHABLE%20PDF-A/92ACC143_Current%20Affair.pdf,1949,NJT,90ACC143,6,1949-NJT-90ACC143-6,Current Affair 1949,njt/1949-njt-90acc143-6-current-affair-1949.pdf,,,1949,1940-1955,India,,"The letters regarding banning CURRENT AFFAIRS, Vartman, Parivartan for replacing PEOPLE's AGE paper.",English,Letter,Official Letter,PDF,,Ban on Current Affairs,Ban on Parivartan,Ban on Vartman,People's Age,Morarji Desai,Sardar Vallabhbhai Patel,Anglo U.S. movemnt against Asia's Liberation Movement,East Pakistan Kisan Battle,Textile Workers,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Material%20from%20Navjivan%20Trust/SEARCHABLE%20PDF-A/92ACC143_Co-operation%20of%20States%20with%20the%20Provinces%20in%20the%20development%20of%20Forests%20in%20india.pdf,1948,NJT,90ACC143,7,1948-NJT-90ACC143-7,Co-operation of States with the Provinces in the development of Forests in india,njt/1948-njt-90acc143-7-co-operation-of-states-with-the-provinces-in-the-development-of-forests-in-india.pdf,,,1948,1940-1955,India,,The letter is written to Sardar Vallabhbhai Patel by Jairamdas Daulatram for planning Development of Forests in Various States of India.,English,Letter,Official Letter,PDF,,Forest development in states,Sadar Vallabhbhai Patel,Jairamdas Daulatram,Ministry for Food and Agriculture,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Material%20from%20Navjivan%20Trust/SEARCHABLE%20PDF-A/92ACC143_Communists%20Oct%20%2047%20to%20Sept%2050.pdf,1950,NJT,90ACC143,8,1950-NJT-90ACC143-8,Communists states and their activities in India,njt/1950-njt-90acc143-8-communists-states-and-their-activities-in-india.pdf,,,1950,1940-1955,India,,The letters discuss about strengths and activities of different communist organizations between 1947 and 1950. Measures taken to control communists is also discussed.,English,Letter,Official Letter,PDF,,Communism in Beswada,Communisim in Madras,Communisim in Hyderabad,Communisim in Different States,Circular by P C Joshi to Communist Organization in India,Removal of prosecution,Pandit Jawaharlal Nehru,Sardar Vallabhbhai Patel,V P Menon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Material%20from%20Navjivan%20Trust/SEARCHABLE%20PDF-A/92ACC143_Controls%20of%20cloth%20and%20yarn%20productions.pdf,1947,NJT,90ACC143,9,1947-NJT-90ACC143-9,Controls of cloth and yarn productions,njt/1947-njt-90acc143-9-controls-of-cloth-and-yarn-productions.pdf,,,1947,1940-1955,India,,The letters discuss about the cotton cloth price hike and its impact on indian civilians. Cotton cloth and Yarn control order was issued to cotton mills for sake of maintaining stability in prices and production.,English,Letter,Official Letter,PDF,,Cotton Cloth and Yarn Control Order,Indian Textile Mills,Industries and Supplies Department,Cotton Price Hike and Control,Central Government,Cotton Mills in Bombay Province,Sardar Vallabhbhai Patel,Pandit Jawaharlal Nehru,Mr. Rajagopalachari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
